base_word,base_context,base_start_year,base_end_year,synthetic_word
photon,I have..found it very convenient to express all intensity measures in terms of a unit of retinal illumination which I have called the photon,1916,,photoononize
photon,I have..found it very convenient to express all intensity measures in terms of a unit of retinal illumination which I have called the photon,1916,,photoononed
photon,I have..found it very convenient to express all intensity measures in terms of a unit of retinal illumination which I have called the photon,1916,,photoononing
photon,I have..found it very convenient to express all intensity measures in terms of a unit of retinal illumination which I have called the photon,1916,,photoononly
photon,I have..found it very convenient to express all intensity measures in terms of a unit of retinal illumination which I have called the photon,1916,,photoononer
photon,I have..found it very convenient to express all intensity measures in terms of a unit of retinal illumination which I have called the photon,1916,,photoononness
photon,I have..found it very convenient to express all intensity measures in terms of a unit of retinal illumination which I have called the photon,1916,,photoononest
photon,I have..found it very convenient to express all intensity measures in terms of a unit of retinal illumination which I have called the photon,1916,,photoononish
photon,I have..found it very convenient to express all intensity measures in terms of a unit of retinal illumination which I have called the photon,1916,,photoononhood
photon,I have..found it very convenient to express all intensity measures in terms of a unit of retinal illumination which I have called the photon,1916,,photoononburger
photon,A surface of luminance one millilambert observed through a 4 mm. diameter pupil gives a retinal illumination of 2·5 × 4 2 = 40 photons,1916,,photoononing
photon,A surface of luminance one millilambert observed through a 4 mm. diameter pupil gives a retinal illumination of 2·5 × 4 2 = 40 photons,1916,,photoononer
photon,A surface of luminance one millilambert observed through a 4 mm. diameter pupil gives a retinal illumination of 2·5 × 4 2 = 40 photons,1916,,photoononal
photon,A surface of luminance one millilambert observed through a 4 mm. diameter pupil gives a retinal illumination of 2·5 × 4 2 = 40 photons,1916,,photoononity
photon,A surface of luminance one millilambert observed through a 4 mm. diameter pupil gives a retinal illumination of 2·5 × 4 2 = 40 photons,1916,,photoonongenic
photon,A surface of luminance one millilambert observed through a 4 mm. diameter pupil gives a retinal illumination of 2·5 × 4 2 = 40 photons,1916,,photoononphobia
photon,A surface of luminance one millilambert observed through a 4 mm. diameter pupil gives a retinal illumination of 2·5 × 4 2 = 40 photons,1916,,photoonontropic
photon,A surface of luminance one millilambert observed through a 4 mm. diameter pupil gives a retinal illumination of 2·5 × 4 2 = 40 photons,1916,,photoononule
photon,A surface of luminance one millilambert observed through a 4 mm. diameter pupil gives a retinal illumination of 2·5 × 4 2 = 40 photons,1916,,photoononpenia
photon,A surface of luminance one millilambert observed through a 4 mm. diameter pupil gives a retinal illumination of 2·5 × 4 2 = 40 photons,1916,,preonon
photon,In the foregoing pages..the unit light stimulus discharged by a single visual fibre is frequently referred to. It represents a very small amount of energy... It must not be confused with the quantum of energy... I propose to designate it a photon,1916,,photoononize
photon,In the foregoing pages..the unit light stimulus discharged by a single visual fibre is frequently referred to. It represents a very small amount of energy... It must not be confused with the quantum of energy... I propose to designate it a photon,1916,,photoononless
photon,In the foregoing pages..the unit light stimulus discharged by a single visual fibre is frequently referred to. It represents a very small amount of energy... It must not be confused with the quantum of energy... I propose to designate it a photon,1916,,photoononed
photon,In the foregoing pages..the unit light stimulus discharged by a single visual fibre is frequently referred to. It represents a very small amount of energy... It must not be confused with the quantum of energy... I propose to designate it a photon,1916,,photoononer
photon,In the foregoing pages..the unit light stimulus discharged by a single visual fibre is frequently referred to. It represents a very small amount of energy... It must not be confused with the quantum of energy... I propose to designate it a photon,1916,,photoononal
photon,In the foregoing pages..the unit light stimulus discharged by a single visual fibre is frequently referred to. It represents a very small amount of energy... It must not be confused with the quantum of energy... I propose to designate it a photon,1916,,photoononness
photon,In the foregoing pages..the unit light stimulus discharged by a single visual fibre is frequently referred to. It represents a very small amount of energy... It must not be confused with the quantum of energy... I propose to designate it a photon,1916,,photoononlike
photon,In the foregoing pages..the unit light stimulus discharged by a single visual fibre is frequently referred to. It represents a very small amount of energy... It must not be confused with the quantum of energy... I propose to designate it a photon,1916,,photoononity
photon,In the foregoing pages..the unit light stimulus discharged by a single visual fibre is frequently referred to. It represents a very small amount of energy... It must not be confused with the quantum of energy... I propose to designate it a photon,1916,,photoononlogy
photon,In the foregoing pages..the unit light stimulus discharged by a single visual fibre is frequently referred to. It represents a very small amount of energy... It must not be confused with the quantum of energy... I propose to designate it a photon,1916,,photoononify
photon,The stimulus value of the three colour sensations in such proportions as to give white light is nine photons,1916,,photoononed
photon,The stimulus value of the three colour sensations in such proportions as to give white light is nine photons,1916,,photoononer
photon,The stimulus value of the three colour sensations in such proportions as to give white light is nine photons,1916,,photoononation
photon,The stimulus value of the three colour sensations in such proportions as to give white light is nine photons,1916,,photoononist
photon,The stimulus value of the three colour sensations in such proportions as to give white light is nine photons,1916,,photoononling
photon,The stimulus value of the three colour sensations in such proportions as to give white light is nine photons,1916,,photoononory
photon,The stimulus value of the three colour sensations in such proportions as to give white light is nine photons,1916,,photoononance
photon,The stimulus value of the three colour sensations in such proportions as to give white light is nine photons,1916,,photoononferous
photon,The stimulus value of the three colour sensations in such proportions as to give white light is nine photons,1916,,photoononuria
photon,The stimulus value of the three colour sensations in such proportions as to give white light is nine photons,1916,,photoonontion
photon,"I therefore take the liberty of proposing for this hypothetical new atom, which is not light but plays an essential part in every process of radiation, the name photon",1916,,photoononic
photon,"I therefore take the liberty of proposing for this hypothetical new atom, which is not light but plays an essential part in every process of radiation, the name photon",1916,,photoononize
photon,"I therefore take the liberty of proposing for this hypothetical new atom, which is not light but plays an essential part in every process of radiation, the name photon",1916,,photoononed
photon,"I therefore take the liberty of proposing for this hypothetical new atom, which is not light but plays an essential part in every process of radiation, the name photon",1916,,photoononing
photon,"I therefore take the liberty of proposing for this hypothetical new atom, which is not light but plays an essential part in every process of radiation, the name photon",1916,,photoononer
photon,"I therefore take the liberty of proposing for this hypothetical new atom, which is not light but plays an essential part in every process of radiation, the name photon",1916,,photoononal
photon,"I therefore take the liberty of proposing for this hypothetical new atom, which is not light but plays an essential part in every process of radiation, the name photon",1916,,photoononist
photon,"I therefore take the liberty of proposing for this hypothetical new atom, which is not light but plays an essential part in every process of radiation, the name photon",1916,,photoononate
photon,"I therefore take the liberty of proposing for this hypothetical new atom, which is not light but plays an essential part in every process of radiation, the name photon",1916,,photoononise
