id,target_word,prefix_tail,sets_up_form,construction,donor_near_slot,notes
Pca140ac1,soul,"He uses a bewildering, unorthodox technique and his playing is full of what jazzmen refer to as ‘",,,,
P4f48b5f7,modulation,Hormones are known to affect the synthetic function and the size of certain organs. This is an example of what Weiss has called ‘,,,,
P5f72350b,mode,More expensive dot-matrix printers approach 500 cps in draft,,,,
P7d1ea4db,ordination,"Factor analysis does not result in a classification of vegetation in the ordinary sense, but in an arrangement of the vegetational data in a multi-dimensional series. For such an arrangement, there appears to be no word in English which one can use as an antonym to classification; I would like to propose the term ‘",,,,
P40e23dcf,mad,"There was no black or white thing, if you was dope, you was dope..writers, rappers breakdancers, if you was white and you was dope you could get",,,,
Pc23b8209,mainland,"If you're from the North Island,..South Islanders..will tell you that they live on the",,,,
P9354a8a0,attrition,"One is also aware of the changes that have taken place in pronunciation, meaning, and spelling of words. These changes seem analogous to the process known in geographical parlance as",,,,
Pc46c7c76,cellular,Upstart yuppie white trash with their laptops and their Palm Pilots and their Web-browsing,,,,
P04596b11,cable,Channel 12..announced..that it would fight any attempt to drop it from,,,,
P0a59cc6a,restore,"If you've backed up important personal files by storing them on a separate CD, disks or memory stick, it will be easier to",,,,
P42c41c29,postsynaptic,"In general the presynaptic fibre divides up into numerous fine branches which then end in greatly expanded terminals, presynaptic knobs, which make intimate contact with part of the membrane of the cell body or dendrites of the",,,,
P2773d84e,joint,"All truth functions..can be introduced by definition if we start either (a) with the single notion of alternative denial.., or else (b) with the single notion of",,,,
P3463dbfd,promotion,The early events in the pathway leading from the first exposure to carcinogenic or mutagenic agents to a frank tumor are thought to involve a two-step process of tumor initiation and tumor,,,,
Pb7e99093,macro,"The forms and methods of economic management, both micro and",,,,
P76d365f2,secure,"The security regime..makes it clear that not only are the workers not privy to any sensitive information, but also that the U.S. Navy does not regard them as",,,,
P59340429,macho,"‘Man, you can take care of yourself,’ he said with glee. ‘I don't know about that,’ I answered, obeying the formal minuet of the",,,,
P12039a2a,meta-analysis,"While we cannot analyse further what a philosophical explanation or account consists in, for the acceptability of such an analysis will itself rest on some undefined notion of what is reasonable or makes sense, it does not follow that we must suspend our philosophical activities until such a",,,,
Pa6f654a9,smell,"Things..wouldn't always get past the sharp-eyed QC. If a case smelt, he would",,,,
P37e7c248,plating,The Minister's approval certificate..will eventually obviate the necessity of attending the testing station for,,,,
P00263182,kill,"Mr H. M. Stephen..examining..parts of a Messerschmitt 109 fighter which, as a pilot officer, he shot down on Nov. 30, 1940, while operating from Biggin Hill. It was the wartime base's 600th ‘",,,,
Pf78709c5,away,Having been to all the Champions League home games and four,,,,
P909770d8,reference,"The initialization function adds symbols to the Perl symbol table that refer back to the other glue routines, along with an index to be passed to the routine when it is called so that it knows which C subroutine or variable is being",,,,
Pfc181065,asset,Shapely French girls are wearing their..party dresses over nothing but their bare,,,,
P72d11c78,logo,"Almost every page carries that arch public relations device, an image-making",,,,
Pd6483bef,singer,"An informer, then a squealer , is now more often referred to..as a",,,,
P82c96cae,assessment,Agreement was reported upon the payment of £5 to nurses in non-psychiatric hospitals upon passing the preliminary or hospital examination or,,,,
Pe7197561,marriage,"Many of the blades are joined to luxurious hilts of a different provenance, which may have been antique at the time of the",,,,
Pdf406e84,resonator,All of these terminals may act as more or less sharply resonant systems... They may..be thought of as electromagnetic analogues of the Helmholtz,,,,
P54581b79,neutrophil,In the initial phase of the snow-slide association of the Arabidetum coeruleae acidophiles are lacking and basophiles predominate over,,,,
Pb3be045b,hydroxide,"The name ‘hydroxyl’ has long denoted the group OH. In organic contexts it is undoubtedly correct; but the expression ‘hydroxyl ion’ is very frequently used, although possibly less logical than ‘",,,,
Pfc0f67ae,formalism,These circumstances make it appropriate to discuss the spontaneous fission rates of even very heavy nuclei in terms of the liquid drop,,,,
Pd522aaf2,function,The design and implementation of a program involves the integration and concatenation of a set of,,,,
Pfda8af3d,institutional,"A new branch of systemic linguistics dealing with the types of relation that arise in use between tongues, and between them and their users... As its aim is to confront tongues and communities as social institutions, it might be called",,,,
Pbfa0aece,apple,"Well, she's not much of a motor, but with a spray job and a new radiator she'll be",,,,
Pc1cedf15,upside,The share price..is vulnerable to even the most modest of bear rumour and.. the downside substantially exceeds the,,,,
P5f387a58,superstructure,This heat influx resulted in widespread metamorphism and establishment of an amphibolite-grade infrastructure (Kiokee Belt) and a greenschist-grade,,,,
P2416843c,red,Do cyclists think that the rules of the road do not apply to them..as they sail blithely through a pedestrian crossing on,,,,
P320bb463,wave,"As if India were not already finding batting hard enough, the crowd started during this final session to behave as they have seen others doing in Mexico, and performing what is apparently called the ‘ human",,,,
P1496ae20,reactance,"Since this hypothetical motivational state is in response to the reduction (or threatened reduction) of one's potential for acting, and conceptually may be considered a counterforce, it will be called ‘psychological",,,,
Pcf4ade1a,southern,"Before there were any dialect surveys in the United States, it was generally believed that there were two main dialects, Yankee (i.e. northern) and",,,,
Pc73a4c0e,observable,"Hubble estimates that about 30 million nebulae are contained within a sphere of this radius, and that so far as the observations go..they are uniformly distributed..throughout the",,,,
P9ff433f6,ribosome,The nucleic acid of the chromosomes forms a ‘messenger’ molecule which leaves the nucleus and joins particles in the cytoplasm which are called,,,,
P8efcaa15,western,"With due respect to Southern..the established tradition of ‘geographic’ naming of transfer techniques (‘Southern’, ‘Northern’) is continued; the method described in this manuscript is referred to as ‘",,,,
P545495aa,mainland,Parliament are incredibly ignorant of the region and have been well content if the English politicians and Whitehall civil servants who administer it from the Northern Ireland Office at Stormont Castle succeed in preventing its problems from impinging on the affairs of the,,,,
Pe5fe1b43,transition,The transgender community believes that 40 per cent of people attempt suicide in the years before or during,,,,
P303fe9ad,output,It is normally stated in the form of rules which may be applied to one of the pair—an input —altering it to produce the other—an,,,,
P2791a3d6,proposal,"Any statement of implication, whether formal or material, may be translated into the language of probability by taking the implicans as supposal and the implicate as",,,,
P5cc0a0c5,polishing,"One type of sheet filter composed of 160 sheets, 80 on each side, one side for ‘roughing’ and the other for ‘",,,,
Pb329b799,printer,The static outputs of a total of 80 decade counters and 16 PM counters are connected to the,,,,
P781bf741,bust,"Your opponent overscores while attempting to finish so you merrily shout ‘Come out’, and receive a black look in reply. Merely means ‘Hard cheddar, you've",,,,
P99fe05e0,binary,Optical reading is done by using printed ‘bar-codes’; ie alternating lines and spaces which represent data in,,,,
Pebd9cfa7,attrition,"Māori remained the language of the community for the first decades of colonization, but slowly, changes in the demographic balance..led to its",,,,
Pdd60024f,medicine,Direct governmental support of medical students and medical schools were vigorously opposed at one time or another by organized,,,,
P47025f04,wave,"There was the uncertainty among us media people about whether to stand when the congregation did. Half of us would rise, a third sit confusedly down again, then a fifth struggle to their feet. The Queen must have thought we were trying out a Mexico",,,,
P274e82a0,utility,His clothes were rather like yours. He must have been dressed in his best,,,,
P010c4763,transcription,"Mutations in the promoter region lead to a reduction in the rate of messenger synthesis from the whole operon. The promoter is thought to be the region for the attachment of the DNA-dependent RNA polymerase, the enzyme responsible for",,,,
P72a29d2e,analogue,There is confusion..about the need to buy new radios and the industry fears a potential backlash from consumers angry about the end of,,,,
Pd078b626,net,Sites with mass storage will generally wish it to be accessible from other computers in the,,,,
P893098e4,proactive,"Citizens usually bring matters to police attention... The police department deals with such requests as a reactive organization ... The police also acquire information by intervening in the lives of citizens on their own initiative. In this capacity, they serve as a",,,,
Pce9256b6,junction,"Silicon and germanium may be either n -type or p -type semiconductors... If, in a single sample, there is a transition from one type to the other, a rectifying photosensitive p-n",,,,
P6506069e,plating,It is possible to run two threads at once into the knitting machine and arrange that one of these predominates in the back of the fabric whilst the other is mostly seen on the front... This method of knitting is known as,,,,
Pd8e72ccc,converter,In these reactors the neutrons accompanying the fission process are used to convert..non-fissionable material (uranium-238) into one (plutonium-239) that is fissionable... Such reactors have been called production reactors or,,,,
P73fba1af,mother,"Talk about one thing, talk about an other; But ef you talk about me, I'm gwain to talk about your",,,,
P56ca09b3,competence,"One fundamental factor involved in the speaker-hearer's performance is his knowledge of the grammar that determines an intrinsic connection of sound and meaning for each sentence. We refer to this knowledge—for the most part, obviously, unconscious knowledge—as the speaker-hearer's ‘",,,,
P6ed139ea,operation,Note to sub-editors and others: please cooperate in killing..the most overworked of current clichés—the whimsical application to a variety of topics of the military locution ‘,,,,
P3b3d796b,unlock,The SIM Lock can be deactivated to allow a customer to switch to another network or service provider..but operators often charge a significant fee before they provide the information necessary to,,,,
P080a7836,trustee,"History will be made if the people in the Trust Territories..vote to come under the wing of the United States, their",,,,
P1a799647,clearance,The policy-makers must be consulted on everything that is not part of the established routine. Getting their okay is known as ‘clearing on policy’ or ‘,,,,
P237c9f67,lame,"Baseball is not my game, In fact, I think it's pretty",,,,
Pc45f4be9,computation,"The lab's electrical bill for computers has swelled to more than $10 million a year,..says..its deputy associate director for",,,,
P92633a0d,skeletal,"Ohsumi reviewed the characteristics of the alpine soils in Japan and established four varieties: (1) Alpine grassland soils, (2) Alpine podzols, (3) Alpine wet meadow soils, and (4)",,,,
