idx,target,year,is_future,prefix
0,accent,1591,0,"Others..cite the vast circulation of the Petit Journal of Paris..as a precedent for the belief that a similar paper at one penny should reach in this American country of ours..a circulation of a round million and upwards, with an"
1,accent,1849,0,"The Greek workman cared for shadow only as a dark field wherefrom his light figure or design might be intelligibly detached: his attention was concentrated on the one aim at readableness, and clearness of"
2,artillery,1728,0,"The form of the carronade, short and very thick at the base, is so well known to students of"
3,bubble,1837,0,"All this must be taken at rising prices by the clique, for, when they show themselves unable to absorb more, the price breaks with the stoppage of demand and the"
4,caution,1830,0,"For some time after his degradation the disputations in theology were entirely dispensed with, on the payment of"
5,caution,1834,0,"However, we don't mind it so much as the dust, which, during the Exhibition week, when the extra traffic stirred it up, was a real ‘"
6,coating,1802,0,"Kendal, celebrated for the manufacture of a peculiar description of coarse woollen goods called cottons, being, most probably, a corruption of"
7,compartment,1793,0,"The sides of the shell are seen to be composed of from 4 to 8 separate pieces, valves, or, as they are technically called,"
8,conspiracy,1386,0,No longer will good men be able with easy conscience to join in that indignant ‘Hush!’ by which the evil-doers have hitherto silenced every attempt to make articulate the smothered wail that rises unceasing from the woeful under-world. There is now an end to that
9,covenant,1552,0,"On each head His lawn-robed Servant lays An apostolic hand, and with prayer seals The"
10,directive,1642,0,"You would think it enough to call an order a direction. No, he [ sc. the Civil Servant] has to make it ‘a"
11,discard,1591,0,"I hate cards; I can't concentrate at all, and I never have the faintest idea what the man on my left has"
12,displace,1774,0,"A cork, a ship, a buoy, each buries itself a bed on the surface of the water; this bed may be considered as so much water"
13,divorce,1532,0,"The Pipe, distinguished by its gristly Rings, To cherish Life Aerial Pasture brings; Which the soft-breathing Lungs with gentle Force Constant embrace by Turns, by Turns"
14,excitation,1921,0,"An excited state is one in which energy is given to the atom, either by collisions, or by absorption of electromagnetic radiant energy, permitting the electron to revolve in an empty outer orbit. The energy required to produce this change is known as the"
15,feather,1430,0,"When I..saw Rosie standing there, you could 'ave knocked me down with a"
16,grouping,1704,0,"These [subjects] are executed in a free and graceful style, with a fine feeling for selection and"
17,grouping,1799,0,"The multiplication of Titles, in which analogous points of learning may be exhibited in a variety of new"
18,heading,1841,0,"These deviations..occur only when the aeroplane is turning... When the angle of tilt..exceeds the complement [of the magnetic dip] , the compass will be completely reversed on an easterly"
19,heading,1779,0,"Ooze is then poured on, to fill up interstices; and the whole crowned with a sprinkling of bark, which the tanners call a"
20,heading,1847,0,"A bed was prepared..being formed simply by laying down a succession of blankets and counterpanes, with anything and everything stuck under the end for ‘"
21,ignorant,1886,0,Male co-workers can also be a problem for the female employees at the mill... The talkers..will tell you all about what they want to do to you and can sometimes get
22,imaginary,1670,0,"The Original Components or Roots of all Equations, may be either Affirmative, Negative, Mix'd, or"
23,inclination,1439,0,"Only the practitioner knows what he does and why he is doing it, recording the bare essentials for lack of time or"
24,inclination,1585,0,"The elevation of the stile of an inclining dial at any place, is equal to the sum or difference of the latitude and"
