target_word,category,year,context_level,text,prefix,suffix,rank,target_nll,correct@10,correct@20,correct@50,correct@100,top_10_words,top_10_nlls,wl,tier,strategy,seed_word,family,hit
scintillon,synthetic_seeded,,high,"The unit of heavy hydrogen, the deuteron, bids fair to rival in interest its recently found cousins, the neutron and [MASK]","The unit of heavy hydrogen, the deuteron, bids fair to rival in interest its recently found cousins, the neutron and",,-1,inf,0,0,0,0,the|proton|positron|pion|electron|muon|pi|meson|its|alpha,0.4385|1.6263|3.0641|3.9608|4.1260|4.2770|4.3796|4.8136|5.4398|6.1263,scintillon,core,slot_reuse,positron,particle_on,False
scintillon,synthetic_seeded,,medium,"Following the discovery of the neutron, a further faint corpuscle betrayed only by the flash it left in the screen was provisionally named the [MASK]","Following the discovery of the neutron, a further faint corpuscle betrayed only by the flash it left in the screen was provisionally named the",,-1,inf,0,0,0,0,proton|muon|pion|pi|positron|psi|meson|neutrino|beta|mu,0.5020|2.6083|2.7735|3.0687|3.5646|4.3780|4.3873|4.6893|4.7838|4.8673,scintillon,core,slot_reuse,positron,particle_on,False
scintillon,synthetic_seeded,,low,The track in the chamber could only be explained by the passage of a [MASK],The track in the chamber could only be explained by the passage of a,,-1,inf,0,0,0,0,large|train|vehicle|very|heavy|small|body|huge|massive|car,2.0789|2.2682|2.9535|3.3280|3.3290|3.5825|3.7974|4.1727|4.2976|4.4575,scintillon,core,slot_reuse,positron,particle_on,False
fermiton,synthetic_seeded,,high,"Among the recoil fragments the counters registered a heavy short-lived corpuscle, distinct from the neutron and the proton alike, which the authors provisionally christened the [MASK]","Among the recoil fragments the counters registered a heavy short-lived corpuscle, distinct from the neutron and the proton alike, which the authors provisionally christened the",,-1,inf,0,0,0,0,mu|muon|z|j|tau|rho|w|pion|xi|psi,2.4434|2.6859|3.0508|3.2079|3.2779|3.3864|3.4407|3.9862|4.0039|4.1836,fermiton,core,affix_swap,positron,particle_on,False
fermiton,synthetic_seeded,,medium,"The cloud-chamber photograph showed a third track, ascribed to a hitherto unreported nuclear particle they named the [MASK]","The cloud-chamber photograph showed a third track, ascribed to a hitherto unreported nuclear particle they named the",,-1,inf,0,0,0,0,muon|z|tau|w|neutrino|pi|pion|meson|positron|mu,1.2175|2.1792|2.5520|2.5984|2.9518|2.9528|3.0542|3.3047|3.7022|3.7848,fermiton,core,affix_swap,positron,particle_on,False
fermiton,synthetic_seeded,,low,Each disintegration appeared to liberate a single [MASK],Each disintegration appeared to liberate a single,,-1,inf,0,0,0,0,molecule|particle|cell|electron|atom|proton|individual|large|fragment|entity,2.7770|3.3398|3.5032|3.7463|3.8742|4.0307|4.5933|4.7654|4.7931|4.7933,fermiton,core,affix_swap,positron,particle_on,False
spinitron,synthetic_seeded,,high,"The reversal of the magnetic moment was attributed to a small charged unit carrying the rotational property, which the theorists provisionally named the [MASK]","The reversal of the magnetic moment was attributed to a small charged unit carrying the rotational property, which the theorists provisionally named the",,-1,inf,0,0,0,0,quark|graviton|fermion|magnetic|axion|muon|magneton|dipole|spinon|spin,3.0794|3.7745|3.8788|3.9054|3.9143|3.9793|4.0064|4.0981|4.1454|4.4457,spinitron,core,affix_swap,positron,particle_tron,False
spinitron,synthetic_seeded,,medium,"To account for the doubling of the lines the authors postulated a hypothetical corpuscle, the [MASK]","To account for the doubling of the lines the authors postulated a hypothetical corpuscle, the",,-1,inf,0,0,0,0,lepton|corpuscular|proton|corpuscle|so|ether|corpus|phlogiston|atom|meson,4.4583|4.6053|4.6704|4.7267|4.8452|4.9680|5.0605|5.1147|5.1885|5.1938,spinitron,core,affix_swap,positron,particle_tron,False
spinitron,synthetic_seeded,,low,No detector has yet captured a free [MASK],No detector has yet captured a free,,-1,inf,0,0,0,0,neutron|particle|neutrino|electron|floating|falling|quark|proton|flying|boson,1.8381|2.3379|2.3401|2.5254|2.5891|3.4009|3.6269|3.6828|3.6830|4.3139,spinitron,core,affix_swap,positron,particle_tron,False
bindon,synthetic_seeded,,high,"If light is quantised as the photon, then by analogy the cohesive field that holds the nuclear fragments together might be carried by a corpuscle we may name the [MASK]","If light is quantised as the photon, then by analogy the cohesive field that holds the nuclear fragments together might be carried by a corpuscle we may name the",,-1,inf,0,0,0,0,gluon|nucleon|neutron|meson|quark|graviton|proton|neutronon|boson|lepton,2.4278|2.5913|2.8787|2.9277|3.3709|3.9377|3.9980|4.0425|4.1175|4.3492,bindon,core,analogical_blend,positron,particle_on,False
