text,target_word,year,entry_start_year,rank,top_10_words
"The forms and methods of economic management, both micro and macro",macro,1974,1933.0,1,macro|macroscopic|mega|megascopic|megalo|grand|megal|macros|ma|large
The use of acoustic energy to perform all those functions in hydrospace for which electromagnetic energy is employed in aerospace,aerospace,1959,1955.0,2,the|aerospace|air|space|radio|a|wireless|electrospace|radiospace|electromagnetic
Apparently anyone who believes in genetic racial differences is a ‘racist’... I suppose by analogy that anyone who believes in genetic sex differences is a ‘ sexist,sexist,1949,1949.0,2,feminist|sexist|sexualist|sexologist|womanist|sextist|sex|bisexist|femaleist|genist
"We seem to need words which will briefly indicate action by two kinds of chemical transmission, due in the one case to some substance like adrenaline, in the other case to a substance like acetylcholine, so that we may distinguish between chemical function and anatomical origin. I suggest the words ‘adrenergic’ and ‘ cholinergic",cholinergic,1934,1934.0,4,acetylenergic|cholineergic|acetoergic|cholinergic|acetylergic|acetylcholic|chologenic|acetolergic|choline|acetenergic
"‘Network’ is a noun referring to entire social or family network as the unit of intervention... The techniques..described by Speck and Attneave..are those of assembling the social network, which they prefer to call a process of retribalization rather than ‘ networking",networking,1976,1940.0,24,network|social|group|return|net|socialization|techniques|breaking|integration|tribe
"It is recommended that the new unit for luminous intensity (which is such that the luminance or photometric brightness of a black body at the temperature of freezing platinum equals 60 units of intensity per square centimetre) shall be called in all countries by the Latin name ‘candela’, with the symbol ‘ cd",cd,1950,1950.0,30,c|cand|l|i|k|cc|b|cp|a|cl
"The unit of heavy hydrogen, the deuteron, or deuton, as it has been called, bids fair to rival in interest its recently found cousins, the neutron and positron",positron,1933,1933.0,36,the|proton|helium|metron|electron|hepton|protron|lithon|argon|lithion
I want to study psychiatry when I get through med,med,1931,1931.0,39,here|college|with|school|medical|the|my|at|this|and
"Working at the CERN atom smasher in Geneva, the team managed to construct antihydrogen from the anti-matter equivalent of a proton and an electron—an antiproton and a positron",positron,1933,1933.0,47,negative|neutral|neutron|proton|free|non|double|pair|negron|positive
This paper describes an enzyme system synthesizing threonine from homoserine; we have called it threonine synthase,synthase,1954,1954.0,61,enzyme|because|synthesis|from|system|in|and|for|synthesizer|since
"The Calgary Region Home Builders Association forecast calls for 6,503 singles and 3,067 multis",multi,1986,1986.0,64,doubles|two|double|flats|pairs|apartments|duplexes|families|blocks|duplex
"Just as the positive hole can be pictured as a collectivized positron, the excited state can be pictured as a kind of particle which we shall call a (collectivized) exciton",exciton,1936,1936.0,86,positive|electron|positron|negative|negatron|particle|excited|excitron|proton|unit
