text,target_word,year,entry_start_year,rank,top_10_words
Families may soon be enjoying a tipple at the bar to make their parties held in the community centre go with a swing,swing,1976,1400.0,1,swing|bang|real|bit|little|bigger|greater|fizz|swish|splash
"Ford, at the very last, was doing something right. Most of the polls showed he was closing fast on Jimmy Carter, who was limping badly down the stretch",stretch,1949,1541.0,1,stretch|home|homestretch|final|last|campaign|straightaway|backstretch|finish|finishing
"In the study of chemical kinetics, electrical circuit theory, and problems of missile guidance a type of differential equation arises which is exceedingly difficult to solve by ordinary numerical procedures. A very satisfactory method of solution of these equations is obtained by making use of a forward interpolation process... The differential equations to which this method applies are called ‘ stiff",stiff,1952,,1,stiff|singular|recurrence|sylvester|hamilton|hamiltonian|integro|integral|diffusion|nonlinear
We both [ sc. humans and plants] have common ancestors..in that pool of organic nutrients known as the primordial soup,soup,1956,1325.0,1,soup|ooze|sea|ocean|broth|earth|slime|oceans|sludge|swamp
"When ultra-violet light acts on a mixture of water, carbon dioxide, and ammonia, a vast variety of organic substances are made... Before the origin of life they must have accumulated till the primitive oceans reached the consistency of hot dilute soup",soup,1956,1325.0,1,soup|syrup|solution|solutions|molasses|acid|acids|soap|glue|gelatin
The District owned the south side of the Inner Circle from Mansion House to South Kensington... District trains reached Uxbridge over the Metropolitan,metropolitan,1934,1410.0,1,metropolitan|great|west|line|north|london|central|main|old|lines
Doctors..will soon attempt to use the technique to treat a child with severe combined immune deficiency—a so-called ‘ bubble,bubble,1966,1350.0,1,bubble|bubbles|bubonic|bubba|bubbleboy|wolf|wolfman|jeffery|vetting|patient
David has spent his entire three years in complete isolation in a germ-free plastic bubble,bubble,1966,1350.0,1,bubble|box|pod|chamber|suit|room|tube|tent|capsule|enclosure
"Silicon..can be substituted either on the Ga site, where it becomes a shallow donor, or on the As site, where it is a shallow acceptor",acceptor,1936,1384.0,1,acceptor|n|donor|hole|trap|emitter|p|accepting|activator|electron
"If he is a member of the Labour Party, he is bound by the standing orders of the Parliamentary Labour Party... To defy the standing orders may involve the withdrawal of the whip",whip,1950,1325.0,1,whip|labour|party|right|membership|parliamentary|privileges|support|privilege|pass
