text,target_word,year,entry_start_year,rank,top_10_words
"The forms and methods of economic management, both micro and macro",macro,1974,1933.0,1,macro|macroeconomic|meso|macroeconomics|macrolevel|macroscopic|mezzo|mac|mega|maco
"I often practised my judo. I..was, by this time, a 4th Dan",dan,1941,1941.0,1,dan|degree|kyu|or|grade|dans|class|kup|level|kyū
"The direct current (DC) signals which flow through a computer cannot be transmitted over telephone lines, so it is necessary to convert them... The black box which does this conversion at either end of the line is called a modem",modem,1958,1958.0,1,modem|modulator|telephone|terminal|dc|data|transformer|teletype|transceiver|transmitter
SNC was receiving its ABC News video (and Metromedia's WNEW-TV news feeds) from New York via terrestrial microwave,microwave,1968,1931.0,1,microwave|fiber|cable|links|satellite|transmission|line|lines|uhf|link
His name has been published in American newspapers with a total circulation of 2.5 million and can be easily found on the Internet,internet,1974,1974.0,1,internet|web|world|net|google|search|website|worldwide|major|websites
A small group of bases that codes one amino acid has recently been named a codon,codon,1962,1962.0,1,codon|gene|family|trna|pseudogene|domain|pseudo|superfamily|protein|clade
"A variety of instrumental, choral and solo recordings, both monaural and binaural ( stereo",stereo,1954,1954.0,1,stereo|stereophonic|headphones|http|hemisphere|headphone|encoded|headsets|sterophonic|music
"Citizens usually bring matters to police attention... The police department deals with such requests as a reactive organization ... The police also acquire information by intervening in the lives of citizens on their own initiative. In this capacity, they serve as a proactive",proactive,1951,1933.0,1,proactive|source|kind|catalyst|sort|type|preventive|form|social|pro
"Nestled snugly into a cattle-class seat aboard a 737, you drop your tray table and open your laptop",laptop,1983,1983.0,1,laptop|book|in|copy|eyes|tray|inflight|lap|computer|mouth
"‘Network’ is a noun referring to entire social or family network as the unit of intervention... The techniques..described by Speck and Attneave..are those of assembling the social network, which they prefer to call a process of retribalization rather than ‘ networking",networking,1976,1940.0,1,networking|network|networks|referral|family|intervention|reunion|reconnecting|networked|social
"Working at the CERN atom smasher in Geneva, the team managed to construct antihydrogen from the anti-matter equivalent of a proton and an electron—an antiproton and a positron",positron,1933,1933.0,1,positron|pion|negatively|positively|positrion|negative|neutrino|strange|positive|p
"We seem to need words which will briefly indicate action by two kinds of chemical transmission, due in the one case to some substance like adrenaline, in the other case to a substance like acetylcholine, so that we may distinguish between chemical function and anatomical origin. I suggest the words ‘adrenergic’ and ‘ cholinergic",cholinergic,1934,1934.0,1,cholinergic|muscarinic|cholinoid|cholino|nicotinic|cholingeric|ach|peptidergic|neuromuscular|achergic
"It seems that mountain relief, islands, lakes, the holes in Appenzeller and Ementhaler cheeses, the craters of the moon, the distribution of stars close to us in the galaxy and a good deal more can be described by the use of generalized Brownian motions and the idea of the fractal",fractal,1975,1975.0,1,fractal|brownian|ergodic|distribution|mean|free|probability|generalized|effective|random
There is a tendency for each side to counter the other pressure with a somewhat stronger one of its own. This increasing pressure step by step is called ‘ escalation,escalation,1938,1938.0,1,escalation|escalate|escalating|pressure|the|tit|escalatory|press|mutual|accumulation
"More clients are going to naturopaths, chiropractors and faith healers, or are trying fashionable psychological health movements, such as dianetics and est",est,1973,1973.0,1,est|the|transcendental|reiki|rebirthing|scientology|primal|past|neuro|holotropic
"Lorna showed us into the villa and put some low, slow background music on the stereo",stereo,1964,1954.0,1,stereo|cd|sound|radio|hi|bose|ipod|system|tv|speakers
The Google API allows anyone to write programs and create web pages that search Google's database,database,1962,1953.0,1,database|index|vast|public|massive|databases|web|entire|publicly|data
