target_word,category,year,context_level,text,prefix,suffix,rank,target_nll,correct@10,correct@20,correct@50,correct@100,top_10_words,top_10_nlls,wl,tier,strategy,seed_word,family,hit
scintillon,synthetic_seeded,,high,"The unit of heavy hydrogen, the deuteron, bids fair to rival in interest its recently found cousins, the neutron and [MASK]","The unit of heavy hydrogen, the deuteron, bids fair to rival in interest its recently found cousins, the neutron and",,-1,inf,0,0,0,0,the|proton|metron|helium|electron|protron|protogon|lithon|argon|ison,0.4734|2.9783|3.5062|4.1050|4.2223|4.2681|5.0357|5.3076|5.3165|5.5936,scintillon,core,slot_reuse,positron,particle_on,False
scintillon,synthetic_seeded,,medium,"Following the discovery of the neutron, a further faint corpuscle betrayed only by the flash it left in the screen was provisionally named the [MASK]","Following the discovery of the neutron, a further faint corpuscle betrayed only by the flash it left in the screen was provisionally named the",,-1,inf,0,0,0,0,x|alpha|a|electron|y|beta|proton|nucleon|ison|n,2.9350|3.2997|3.7501|3.7736|3.9950|4.1277|4.1707|4.4036|4.4506|4.4550,scintillon,core,slot_reuse,positron,particle_on,False
scintillon,synthetic_seeded,,low,The track in the chamber could only be explained by the passage of a [MASK],The track in the chamber could only be explained by the passage of a,,-1,inf,0,0,0,0,body|heavy|vehicle|large|man|train|person|current|human|wheel,2.5691|2.8829|3.1313|3.1324|3.4514|3.6318|3.8189|3.8193|4.0067|4.0294,scintillon,core,slot_reuse,positron,particle_on,False
fermiton,synthetic_seeded,,high,"Among the recoil fragments the counters registered a heavy short-lived corpuscle, distinct from the neutron and the proton alike, which the authors provisionally christened the [MASK]","Among the recoil fragments the counters registered a heavy short-lived corpuscle, distinct from the neutron and the proton alike, which the authors provisionally christened the",,-1,inf,0,0,0,0,recoil|neutron|electron|corpuscle|helium|a|metron|alpha|pseudo|meta,3.3690|3.4737|3.5505|4.1065|4.1599|4.2350|4.3486|4.6482|4.6864|4.9328,fermiton,core,affix_swap,positron,particle_on,False
fermiton,synthetic_seeded,,medium,"The cloud-chamber photograph showed a third track, ascribed to a hitherto unreported nuclear particle they named the [MASK]","The cloud-chamber photograph showed a third track, ascribed to a hitherto unreported nuclear particle they named the",,-1,inf,0,0,0,0,p|third|b|a|y|wolf|d|c|l|k,3.8009|3.8183|3.8372|3.9293|4.0647|4.1487|4.2836|4.3072|4.3119|4.4739,fermiton,core,affix_swap,positron,particle_on,False
fermiton,synthetic_seeded,,low,Each disintegration appeared to liberate a single [MASK],Each disintegration appeared to liberate a single,,-1,inf,0,0,0,0,cell|molecule|bacterium|large|organism|atom|particle|gas|bacillus|element,3.1908|3.4299|3.6008|3.7473|3.8679|3.8690|4.1173|4.1365|4.1805|4.2205,fermiton,core,affix_swap,positron,particle_on,False
spinitron,synthetic_seeded,,high,"The reversal of the magnetic moment was attributed to a small charged unit carrying the rotational property, which the theorists provisionally named the [MASK]","The reversal of the magnetic moment was attributed to a small charged unit carrying the rotational property, which the theorists provisionally named the",,-1,inf,0,0,0,0,electron|magneton|magnetic|electric|ion|electrons|corpuscle|faraday|zeeman|elementary,0.5643|3.6637|3.6946|4.0245|4.1204|4.3018|4.3265|4.3891|4.6582|5.4897,spinitron,core,affix_swap,positron,particle_tron,False
spinitron,synthetic_seeded,,medium,"To account for the doubling of the lines the authors postulated a hypothetical corpuscle, the [MASK]","To account for the doubling of the lines the authors postulated a hypothetical corpuscle, the",,-1,inf,0,0,0,0,electron|mass|size|a|charge|zeeman|corpuscle|doublet|existence|nature,2.6216|2.9793|3.5721|3.6793|3.7286|4.1729|4.1938|4.4406|4.5093|4.5718,spinitron,core,affix_swap,positron,particle_tron,False
spinitron,synthetic_seeded,,low,No detector has yet captured a free [MASK],No detector has yet captured a free,,-1,inf,0,0,0,0,electron|charge|negative|radio|ether|ion|wave|discharge|atom|corpuscle,2.1152|2.5343|3.1603|3.4152|3.5836|3.6505|3.8714|3.9719|4.3476|4.3967,spinitron,core,affix_swap,positron,particle_tron,False
bindon,synthetic_seeded,,high,"If light is quantised as the photon, then by analogy the cohesive field that holds the nuclear fragments together might be carried by a corpuscle we may name the [MASK]","If light is quantised as the photon, then by analogy the cohesive field that holds the nuclear fragments together might be carried by a corpuscle we may name the",,-1,inf,0,0,0,0,nucleon|nuclear|corpuscle|electron|cohesive|nucleus|proton|cohesion|photon|gamma,2.8727|2.8889|3.3949|3.4779|3.7810|3.8266|4.2080|4.3922|4.7686|5.4894,bindon,core,analogical_blend,positron,particle_on,False
bindon,synthetic_seeded,,medium,"The attractive agency between the particles was supposed, on this view, to be conveyed by a discrete unit they termed the [MASK]","The attractive agency between the particles was supposed, on this view, to be conveyed by a discrete unit they termed the",,-1,inf,0,0,0,0,electron|atom|molecule|corpuscle|ether|electric|particle|ion|aether|caloric,1.9148|2.1521|2.3357|2.3395|3.1593|3.2161|3.7133|3.7250|3.8930|4.1020,bindon,core,analogical_blend,positron,particle_on,False
bindon,synthetic_seeded,,low,Such a thing as a free [MASK] has never been observed,Such a thing as a free, has never been observed,-1,inf,0,0,0,0,and|man|press|public|school|library|will|church|government|state,2.6920|3.0694|3.1923|3.1924|3.3807|3.6293|3.8836|4.0131|4.0669|4.1301,bindon,core,analogical_blend,positron,particle_on,False
fissiton,synthetic_seeded,,high,"When the heavy nucleus bursts asunder, a prompt corpuscle is shot out before the fragments separate; for this momentary particle the discoverers propose the name [MASK]","When the heavy nucleus bursts asunder, a prompt corpuscle is shot out before the fragments separate; for this momentary particle the discoverers propose the name",,-1,inf,0,0,0,0,of|protonucleus|prothrombin|pronucleus|electron|prothallus|corpuscle|monad|nucleolus|pro,0.4675|4.2339|4.9487|4.9815|5.0856|5.3164|5.7303|5.7313|5.8908|5.9465,fissiton,core,analogical_blend,positron,particle_on,False
fissiton,synthetic_seeded,,medium,"Among the products of uranium splitting a short-lived emission was reported, which the workers labelled the [MASK]","Among the products of uranium splitting a short-lived emission was reported, which the workers labelled the",,-1,inf,0,0,0,0,a|b|y|alpha|uranium|beta|x|p|emanation|u,1.2690|2.3996|2.9868|3.2009|3.9483|4.0027|4.2565|4.3335|4.4053|4.4144,fissiton,core,analogical_blend,positron,particle_on,False
fissiton,synthetic_seeded,,low,The ionisation chamber clicked once for every [MASK],The ionisation chamber clicked once for every,,-1,inf,0,0,0,0,two|ionisation|half|ion|time|ten|electron|discharge|drop|revolution,3.1313|3.2702|3.3665|3.5409|3.8163|3.8213|3.8455|3.9383|3.9543|4.0003,fissiton,core,analogical_blend,positron,particle_on,False
thoughton,synthetic_seeded,,high,"Just as the energy of the collapsing star escapes almost entirely in faint corpuscles, some have speculated, in a lighter vein, that the activity of the mind might be carried by an undiscovered particle they call the [MASK]","Just as the energy of the collapsing star escapes almost entirely in faint corpuscles, some have speculated, in a lighter vein, that the activity of the mind might be carried by an undiscovered particle they call the",,-1,inf,0,0,0,0,psyche|soul|mental|thought|electron|mind|psychic|atom|psycho|corpuscle,2.1102|2.6615|3.2459|3.6789|3.8694|3.8805|4.0587|4.0610|4.0811|4.5957,thoughton,floor,cross_family,positron,particle_on,False
thoughton,synthetic_seeded,,medium,"The essayist imagined that each unit of mental activity might correspond to a hypothetical corpuscle, the [MASK]","The essayist imagined that each unit of mental activity might correspond to a hypothetical corpuscle, the",,-1,inf,0,0,0,0,number|sum|size|activity|brain|unit|energy|nerve|difference|amount,3.4015|3.5925|3.6514|3.7766|4.2821|4.3415|4.4655|4.4837|4.5263|4.5264,thoughton,floor,cross_family,positron,particle_on,False
thoughton,synthetic_seeded,,low,There is of course no evidence whatever for the [MASK],There is of course no evidence whatever for the,,-1,inf,0,0,0,0,existence|statement|view|theory|truth|assertion|belief|assumption|supposition|suggestion,1.8996|2.7122|3.1498|3.5246|3.5246|3.7746|3.8372|3.8996|4.0350|4.1496,thoughton,floor,cross_family,positron,particle_on,False
warmton,synthetic_seeded,,high,"By analogy with the corpuscle of light, the quantum of heat conceived as travelling through the solid as a discrete particle was once jocularly named the [MASK]","By analogy with the corpuscle of light, the quantum of heat conceived as travelling through the solid as a discrete particle was once jocularly named the",,-1,inf,0,0,0,0,corpuscle|quantum|calorie|thermion|electron|caloric|heat|calory|black|calorific,0.6889|2.1937|4.1561|4.2050|4.4257|4.6105|4.6953|4.8672|4.9345|4.9777,warmton,floor,transparent_stem,positron,particle_on,False
warmton,synthetic_seeded,,medium,"The propagation of warmth through the bar was described, somewhat fancifully, as a stream of units each called a [MASK]","The propagation of warmth through the bar was described, somewhat fancifully, as a stream of units each called a",,-1,inf,0,0,0,0,calorie|thermal|degree|unit|calory|therm|heat|caloric|calorimeter|calorific,0.7035|2.7120|3.0275|3.2197|3.2665|3.3942|3.5565|3.8930|5.1556|5.1561,warmton,floor,transparent_stem,positron,particle_on,False
warmton,synthetic_seeded,,low,The idea of a [MASK] never gained acceptance,The idea of a, never gained acceptance,-1,inf,0,0,0,0,man|new|great|national|general|special|single|world|personal|woman,4.4325|4.5214|4.6446|4.6564|4.7495|5.1262|5.2092|5.2840|5.3328|5.3628,warmton,floor,transparent_stem,positron,particle_on,False
