# frozen by perturb_sample.py --write --seed 20260814
stratum	item_id	target	year	material	recruitment
post	P02b957a7	preference	1945	stem	proximity
post	P037bde1c	annotation	1982	affix	proximity
post	P04f33a40	regional	1930	affix	proximity
post	P059bd329	positron	1933	affix	coordination
post	P07cdf71d	green	1975	affix	proximity
post	P07cebe7c	action	1923	stem	proximity
post	P080a7836	trustee	1945	stem	proximity
post	P087368d4	press	1938	stem	proximity
post	P08e2425d	outing	1990	both	naming
post	P0a59cc6a	restore	1971	stem	proximity
post	P0af09c24	interference	1916	both	naming
post	P0ed378ad	signifier	1956	stem	proximity
post	P10bed60a	rest	1932	affix	contrast_analogy
post	P10e344d7	parametric	1942	stem	proximity
post	P110957ee	riser	1961	stem	proximity
post	P12039a2a	meta-analysis	1953	stem	proximity
post	P1496ae20	reactance	1966	both	naming
post	P157e570c	commonwealth	1917	stem	proximity
post	P18928c1f	camouflage	1915	affix	proximity
post	P1970595b	stoma	1937	stem	proximity
post	P1971c14b	consumerism	1915	stem	proximity
post	P1a799647	clearance	1944	stem	coordination
post	P1a9a354c	ignite	1917	stem	proximity
post	P1b53aad0	sterilize	1930	stem	proximity
post	P1d22e10a	interpreter	1950	stem	proximity
post	P1fa7eef0	format	1955	stem	proximity
post	P234f73cb	secondary	1924	affix	contrast_analogy
post	P23a9cf13	inhibitor	1914	stem	proximity
post	P252b1af1	positive	1917	affix	contrast_analogy
post	P26d167d7	download	1962	stem	proximity
post	P27646d1f	saving	1965	affix	coordination
post	P2781e775	electronics	1948	stem	proximity
post	P2791a3d6	proposal	1932	both	contrast_analogy
post	P29918ad9	oscilloscope	1922	stem	proximity
post	P2b149805	shopper	1924	stem	proximity
post	P2b5bbf6a	cytokine	1974	affix	proximity
post	P2b79c3e4	redundancy	1948	stem	proximity
post	P2c5deee2	ancillary	1963	stem	proximity
post	P2c9cf5f5	synthase	1954	stem	proximity
post	P2d4fab66	deconstruction	1973	stem	proximity
post	P303fe9ad	output	1961	affix	contrast_analogy
post	P30cf5c54	synthase	1954	stem	naming
post	P3165feff	rotor	1976	affix	proximity
post	P3463dbfd	promotion	1944	affix	coordination
post	P350750c5	right	1939	affix	proximity
post	P37e7c248	plating	1968	affix	proximity
post	P38ec3cfa	retrograde	1932	stem	proximity
post	P398bc01d	active	1924	affix	contrast_analogy
