text,target_word,year,entry_start_year,rank,top_10_words
"This bidding invariably shows a two-suiter... If he prefers the spades, he can bid two spades to indicate his preference",preference,1945,1456.0,1,preference|choice|desire|suit|hand|willingness|second|intention|wish|liking
The District owned the south side of the Inner Circle from Mansion House to South Kensington... District trains reached Uxbridge over the Metropolitan,metropolitan,1934,1410.0,1,metropolitan|great|west|g|district|london|l|line|north|midland
"The net color charge of a hadron is zero. Stated differently, a hadron is colorless (or white",white,1966,,1,white|black|monochromatic|nearly|gray|neutral|of|achromatic|has|transparent
After their day's sport..everybody will repair to Cosmo's for refreshment and songs and gags from Happy... Happy will keep the party,party,1955,1300.0,1,party|crowd|fun|ball|pot|whole|house|table|gang|tables
There is a remarkable similarity between many of the problems faced by the astronaut in ‘outer space’ and those of the aquanaut in ‘ inner,inner,1958,,1,inner|outer|the|lower|upper|middle|water|ocean|mid|deep
"Each of these quarks can come in three colours red, blue, or green",green,1975,,1,green|yellow|black|white|brown|orange|purple|violet|pink|gold
"We shall assume that there are certain sequences of three nucleotides with which an amino acid can be associated and certain others for which this is not possible. Using the metaphors of coding, we say that some of the 64 triplets make sense and some make nonsense",nonsense,1961,1612.0,1,nonsense|no|none|non|nonsence|a|sense|nonsen|neither|poor
"[In this system] spectrographic registrations formed the basis for such acoustic notions as ‘grave’ and ‘acute’, ‘compact’ and ‘ diffuse",diffuse,1952,1430.0,1,diffuse|rarefied|dispersed|loose|porous|sonorous|open|rare|dilute|extended
I concentrate somewhat more on the arts and sciences than on the professional field and much more on the doctorate than the Master,master,1960,,1,master|bachelor|degree|m|b|mastership|undergraduate|certificate|masters|mere
"A tiny minority advocates completely free exchange markets... Possibly a majority favours continued official intervention to set limits to market fluctuations... But an increasing minority favours a compromise system, variously called the crawling peg..or..the sliding",sliding,1966,,1,sliding|creeping|peg|free|stabilisation|crawling|balanced|automatic|flying|floating
The new master tape (‘son’) is retained till the next updating run in which it serves as the old master tape (‘ father,father,1961,,1,father|son|papa|dad|pa|fa|daughter|dada|mother|fader
"The enzymes..are long peptide chains formed by about twenty different kinds of amino acids, and can be considered as long ‘words’ based on a 20-letter alphabet",alphabet,1956,1475.0,1,alphabet|word|syllable|chain|basis|root|language|system|base|chemical
Define the concept opacity of a rule as follows:..A rule A→B/C–D is opaque to the extent that there are surface representations of the form (i) A in environment C–D or (ii) B in environment other than C–D... Let us refer to the converse of opacity as transparency,transparency,1971,1591.0,1,transparency|the|transparent|non|transparence|being|translucency|follows|trans|impenetrability
"The table overleaf gives the comparable quantities of each type of beverage which approximate to 9 grammes of absolute alcohol, defined by us as one alcoholic unit",unit,1976,1570.0,1,unit|equivalent|degree|dose|volume|content|fluid|beverage|glass|strength
Direct governmental support of medical students and medical schools were vigorously opposed at one time or another by organized medicine,medicine,1966,1225.0,1,medicine|labor|medical|physicians|groups|and|bodies|labour|workers|practitioners
The entire aggregation of elements is termed an electric network... Each junction point of two or more branches is termed a node,node,1943,1391.0,1,node|point|pole|junction|contact|neutral|branch|potential|cell|joint
An example of the actual printed output which optical scanners are required to read,read,1962,,1,read|produce|handle|deal|examine|decipher|make|do|perform|sort
"Talk about one thing, talk about an other; But ef you talk about me, I'm gwain to talk about your mother",mother,1934,,1,mother|father|wife|own|brother|ma|fodder|sister|mudder|and
"Why should one group orient predominantly ortho and para, and another predominantly meta",meta,1938,1876.0,1,meta|the|para|me|meio|ortho|peri|in|ana|meso
They [ sc. children] want to eat savoury things most of all; but there are certain ‘in’ sweet-stuffs and a very great many ‘ out,out,1966,1300.0,1,out|in|without|outside|on|of|between|outs|sweet|with
"The director asked: ‘Aren't you going to study your lines?’ ‘I know what it says,’ replied Bickford. ‘I'll turn to the gang and say, “We'll head 'em off at Eagle Pass”.’",pass,1939,1393.0,1,pass|rock|river|bend|creek|gap|gorge|bridge|gulch|lake
"These are all harmless laxatives, useful if your normal diet produces insufficient bulk",bulk,1940,1440.0,1,bulk|bowel|waste|residue|intestinal|laxative|elimination|results|gas|fecal
"An instrument believed to be wholly new in the orchestra pit, the musical saw",saw,1931,,1,saw|director|instrument|glasses|critic|world|possibilities|telephone|conductor|wonder
Never in the field of human conflict was so much owed by so many to so few,few,1941,,1,few|many|much|great|small|little|single|one|simple|large
The term ‘insecurity’ and its correlative ‘desire for security’ appear extensively in child development literature... We need methods by which we can discriminate between the relatively secure and the relatively insecure,insecure,1935,1649.0,1,insecure|unsafe|secure|unstable|insecures|unsecure|precarious|in|exposed|dangerous
There exist equally interesting relationships between odours and animal behaviours on a different and more profound level,level,1933,1340.0,1,level|plane|scale|basis|physiological|psychological|plan|biological|order|mental
Parker made an error before the game was an inning old,old,1967,,1,old|and|long|in|older|over|or|cid|o|ola
The bush of the jack will be connected to the exchange battery via the plug inserted in one of the other jacks with which it is connected in multiple,multiple,1943,1595.0,1,multiple|the|series|parallel|a|common|pairs|order|its|such
"Hill..was representing a Germany united for Olympic purposes, which won three gold and a silver",silver,1960,,1,silver|number|dozen|bronze|large|like|few|second|great|third
"One popular model has red, white and blue quark triplets. This obviously American model can be expected to be followed by models with other patriotic colors or with equal representation of white, black and yellow",yellow,1975,,1,yellow|red|tan|blue|brown|pink|green|gold|other|the
"For many years, the British viewer's choice was limited to the B.B.C.'s single, noncommercial channel. Since 1955 he has had a second, the commercial service called Independent Television and known to all as ‘The Other Side",side,1961,,1,side|one|fellow|service|way|channel|station|voice|line|company
Is that Lesley Joseph? In't there nowt on the other side,side,1961,,1,side|end|chaps|hand|road|way|cheek|one|lad|chap
Neither of you need worry about the dishes... I'll wash and Grace will wipe,wipe,1943,,1,wipe|dry|iron|put|set|do|clear|help|polish|get
"Numbers at one end of a permitted range can be detected by adding a constant and testing the sign, and then the result of the discrimination may be used to operate a multiway switch",switch,1951,1597.0,1,switch|selector|key|relay|device|signal|stop|or|transmitter|circuit
A heading dog..goes wide round sheep so as not to disturb them and make them go faster. This curve or sweep is called a cast,cast,1933,1300.0,1,cast|circle|round|circuit|quarter|turn|head|curve|beat|sweep
"We feel that this change will be sufficient to discourage ‘hackers’, although it is obviously insufficient to protect a node against a determined and malicious attack",attack,1973,1646.0,1,attack|assault|enemy|opponent|attempt|foe|onslaught|invasion|assailant|effort
"One can make the three-quark system totally antisymmetric by introducing a new degree of freedom for the quarks. We paint them red, green",green,1975,,1,green|and|yellow|blue|white|for|say|black|violet|but
This heat influx resulted in widespread metamorphism and establishment of an amphibolite-grade infrastructure (Kiokee Belt) and a greenschist-grade superstructure,superstructure,1937,1626.0,1,superstructure|super|upper|suprastructure|extrastructure|structure|outcrop|infrastructure|intrastructure|overstructure
Two chartered sleeping cars carried the men across the United States like royalty—and nobody ever had to take an upper,upper,1938,1789.0,1,upper|extra|oath|order|inventory|observation|inferior|overcoat|encore|interest
"Assume you have three sets of quarks, each an SU(6) sextet but distinguished from one another by some attribute I do not know, say red, white and blue",blue,1966,1300.0,1,blue|black|green|yellow|grey|pink|purple|violet|brown|gray
"As Opie says about her S-and-M practice today: ‘I've worn out any desire for being a bottom. If I play now, I'm the top",top,1979,,1,top|first|best|one|whole|s|bottom|ball|only|middle
He would soon be driving around in a family eight or ten,ten,1931,,1,ten|nine|a|twelve|four|ton|six|sixteen|something|more
A doctor..does not have to give reasons for his refusal to accept a patient on his list,list,1949,1604.0,1,list|staff|waiting|books|own|private|visiting|first|doorstep|hands
I've never met any of his—interests. Certainly not this girl. I dunno her from a bar of soap,soap,1938,,1,soap|chocolate|laundry|castile|music|soup|yellow|hard|gold|cast
Where there is speed and goal-scoring power in the middle and down the wings every effort should be made to exploit them to the full by keeping the game as open,open,1934,,1,open|fast|close|free|simple|loose|short|long|rough|far
‘Why doesn't she marry the child's father?’.. ‘It's my belief she doesn't know him from a bar of soap.’,soap,1938,,1,soap|chocolate|laundry|castile|yellow|cast|music|hard|soup|brown
I went..to meet some people who had a development problem they wanted to drop in our laps,lap,1962,,1,lap|hands|laps|office|way|ears|box|ear|mail|company
"The big one is the bass drum, and that round black case is what they call the snare",snare,1938,,1,snare|cymbals|bass|tympanum|cymbal|triangle|big|kettle|kettledrum|tympani
