model,kind_model,target,technical,neighbor,flag_kind,neighbor_year,dating,target_len,brown_freq,rank
talkie-base,restricted,accent,False,accant,ORTHOGRAPHIC,,,6,9,1
talkie-base,restricted,accent,False,accentj,ORTHOGRAPHIC,,,6,9,1
talkie-base,restricted,accent,False,aceent,ORTHOGRAPHIC,,,6,9,1
talkie-base,restricted,accent,False,accenc,ORTHOGRAPHIC,,,6,9,1
talkie-base,restricted,accent,False,aecent,ORTHOGRAPHIC,,,6,9,1
talkie-base,restricted,artillery,False,artillerie,ORTHOGRAPHIC,,,9,11,6
talkie-base,restricted,continuation,False,backwardation,DERIVATIONAL,,undated,12,18,1
talkie-base,restricted,covenant,False,covenent,ORTHOGRAPHIC,,,8,3,1
talkie-base,restricted,covenant,False,coyenant,ORTHOGRAPHIC,,,8,3,1
talkie-base,restricted,covenant,False,covenan,ORTHOGRAPHIC,,,8,3,1
talkie-base,restricted,covenant,False,covenaut,ORTHOGRAPHIC,,,8,3,1
talkie-base,restricted,custody,False,eustody,DERIVATIONAL,,undated,7,2,1
talkie-base,restricted,custody,False,custedy,ORTHOGRAPHIC,,,7,2,1
talkie-base,restricted,dancer,False,dansers,ORTHOGRAPHIC,,,6,31,3
talkie-base,restricted,dancer,False,danser,ORTHOGRAPHIC,,,6,31,3
talkie-base,restricted,dancer,False,daneers,ORTHOGRAPHIC,,,6,31,3
talkie-base,restricted,dancer,False,daneer,ORTHOGRAPHIC,,,6,31,3
talkie-base,restricted,defined,False,denned,ORTHOGRAPHIC,,,7,39,1
talkie-base,restricted,defined,False,defin,ORTHOGRAPHIC,,,7,39,1
talkie-base,restricted,echo,False,eccho,ORTHOGRAPHIC,,,4,10,2
talkie-base,restricted,exam,False,exami,ORTHOGRAPHIC,,,4,0,5
talkie-base,restricted,excuse,False,excufe,ORTHOGRAPHIC,,,6,28,1
talkie-base,restricted,excuse,False,excuſe,ORTHOGRAPHIC,,,6,28,1
talkie-base,restricted,excuse,False,cxcufe,DERIVATIONAL,,undated,6,28,1
talkie-base,restricted,excuse,False,excule,ORTHOGRAPHIC,,,6,28,1
talkie-base,restricted,excuse,False,exeufe,ORTHOGRAPHIC,,,6,28,1
talkie-base,restricted,excuse,False,excusef,ORTHOGRAPHIC,,,6,28,1
talkie-base,restricted,excuse,False,excufc,ORTHOGRAPHIC,,,6,28,1
talkie-base,restricted,feather,False,feath,ORTHOGRAPHIC,,,7,6,1
talkie-base,restricted,garment,False,garmente,ORTHOGRAPHIC,,,7,6,1
talkie-base,restricted,gate,False,gaite,ORTHOGRAPHIC,,,4,37,1
talkie-base,restricted,gratitude,False,gratitie,ORTHOGRAPHIC,,,9,9,1
talkie-base,restricted,gratitude,False,gratilude,ORTHOGRAPHIC,,,9,9,1
talkie-base,restricted,gratitude,False,grauitie,DERIVATIONAL,,undated,9,9,1
talkie-base,restricted,gratitude,False,gravitie,DERIVATIONAL,,undated,9,9,1
talkie-base,restricted,grave,False,graue,ORTHOGRAPHIC,,,5,33,1
talkie-base,restricted,grave,False,graye,ORTHOGRAPHIC,,,5,33,1
talkie-base,restricted,grave,False,grare,ORTHOGRAPHIC,,,5,33,1
talkie-base,restricted,guard,False,guord,ORTHOGRAPHIC,,,5,48,1
talkie-base,restricted,guard,False,guarde,ORTHOGRAPHIC,,,5,48,1
talkie-base,restricted,guard,False,gnard,ORTHOGRAPHIC,,,5,48,1
talkie-base,restricted,guard,False,guaid,ORTHOGRAPHIC,,,5,48,1
talkie-base,restricted,guard,False,gnard,ORTHOGRAPHIC,,,5,48,1
talkie-base,restricted,honey,False,poney,DERIVATIONAL,,undated,5,25,5
talkie-base,restricted,inclination,False,reclination,DERIVATIONAL,,undated,11,8,3
talkie-base,restricted,ladder,False,laddyr,ORTHOGRAPHIC,,,6,19,2
talkie-base,restricted,ladder,False,laddre,ORTHOGRAPHIC,,,6,19,2
talkie-base,restricted,ladder,False,lader,ORTHOGRAPHIC,,,6,19,2
talkie-base,restricted,latitude,False,lattitude,ORTHOGRAPHIC,,,8,5,2
talkie-base,restricted,lesbian,False,leshian,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,lesbian,False,lesbean,ORTHOGRAPHIC,,,7,0,1
talkie-base,restricted,lesbian,False,falernian,DERIVATIONAL,,undated,7,0,6
talkie-base,restricted,lesbian,False,thasian,DERIVATIONAL,,undated,7,0,6
talkie-base,restricted,lesbian,False,æolian,ORTHOGRAPHIC,,,7,0,-1
talkie-base,restricted,literal,False,literall,ORTHOGRAPHIC,,,7,15,1
talkie-base,restricted,literal,False,litterall,ORTHOGRAPHIC,,,7,15,1
talkie-base,restricted,masculine,False,maſculine,ORTHOGRAPHIC,,,9,7,1
talkie-base,restricted,masculine,False,masculin,ORTHOGRAPHIC,,,9,7,1
talkie-base,restricted,masculine,False,masculyne,ORTHOGRAPHIC,,,9,7,1
talkie-base,restricted,masculine,False,masculiue,ORTHOGRAPHIC,,,9,7,1
talkie-base,restricted,metropolitan,False,metropolitical,DERIVATIONAL,,undated,12,34,1
talkie-base,restricted,metropolitan,False,metropoli,ORTHOGRAPHIC,,,12,34,1
talkie-base,restricted,metropolitan,False,metropolitans,ORTHOGRAPHIC,,,12,34,1
talkie-base,restricted,mm,False,mlm,ORTHOGRAPHIC,,,2,5,1
talkie-base,restricted,mould,False,mouldings,ORTHOGRAPHIC,,,5,1,44
