id,kind,target_word,year,grade,domain,stem_donors,affix_donors,donor_distance,locality,ending_types,ending_rarity
Pca140ac1,control-post-unscaffolded,soul,1946,NONE,everyday,,,-1,none,0,n/a
P4f48b5f7,scaffolded-post,modulation,1939,AFFIX,everyday,,function,16,>15,1257,very-common
P5f72350b,scaffolded-post,mode,1951,STEM,everyday,more,,9,6-15,0,n/a
P7d1ea4db,scaffolded-post,ordination,1954,STEM+AFFIX,everyday,ordinary,classification|vegetation,8,6-15,1257,n/a
P40e23dcf,control-post-unscaffolded,mad,1941,NONE,everyday,,,-1,none,0,n/a
Pc23b8209,scaffolded-post,mainland,1949,AFFIX,everyday,,island,11,6-15,38,common
P9354a8a0,scaffolded-post,attrition,1935,AFFIX,everyday,,pronunciation,18,>15,1257,very-common
Pc46c7c76,control-post-unscaffolded,cellular,1985,NONE,everyday,,,-1,none,61,n/a
P04596b11,control-post-unscaffolded,cable,1970,NONE,everyday,,,-1,none,212,n/a
P0a59cc6a,scaffolded-post,restore,1971,STEM,everyday,storing,,15,6-15,27,n/a
P42c41c29,scaffolded-post,postsynaptic,1937,STEM+AFFIX,everyday,presynaptic,presynaptic,19,>15,20,n/a
P2773d84e,control-post-unscaffolded,joint,1940,NONE,everyday,,,-1,none,90,n/a
P3463dbfd,scaffolded-post,promotion,1944,AFFIX,everyday,,initiation,3,<=5,1257,very-common
Pb7e99093,scaffolded-post,macro,1974,STEM,everyday,micro,,2,<=5,2,n/a
P76d365f2,scaffolded-post,secure,1954,STEM,everyday,security,,29,>15,38,n/a
P59340429,control-post-unscaffolded,macho,1943,NONE,everyday,,,-1,none,5,n/a
P12039a2a,scaffolded-post,meta-analysis,1953,STEM+AFFIX,everyday,analysis,analysis,29,>15,16,n/a
Pa6f654a9,scaffolded-post,smell,1939,STEM,everyday,smelt,,3,<=5,7,n/a
P37e7c248,scaffolded-post,plating,1968,AFFIX,everyday,,testing,3,<=5,184,very-common
P00263182,scaffolded-post,kill,1944,STEM,everyday,hill,,8,6-15,0,n/a
Pf78709c5,control-post-unscaffolded,away,1935,NONE,everyday,,,-1,none,0,n/a
P909770d8,scaffolded-post,reference,1971,STEM,everyday,refer,,32,>15,238,n/a
Pfc181065,control-post-unscaffolded,asset,1947,NONE,everyday,,,-1,none,12,n/a
P72d11c78,control-post-unscaffolded,logo,1937,NONE,everyday,,,-1,none,0,n/a
Pd6483bef,control-post-unscaffolded,singer,1935,NONE,everyday,,,-1,none,55,n/a
P82c96cae,scaffolded-post,assessment,1956,AFFIX,everyday,,agreement|payment,16,>15,254,very-common
Pe7197561,control-post-unscaffolded,marriage,1959,NONE,everyday,,,-1,none,26,n/a
Pdf406e84,scaffolded-post,resonator,1936,STEM,everyday,resonant,,13,6-15,90,n/a
P54581b79,scaffolded-post,neutrophil,1932,STEM,everyday,acidophiles,,7,6-15,2,n/a
Pb3be045b,scaffolded-post,hydroxide,1955,STEM,technical,hydroxyl,,11,6-15,2,n/a
