id,candidates,form_n,meaning_n,theme,notes
S0c799363,oh · hydroxyl · oxy · hydroxide · an · water · hydron · hydroxy · the · anhydride,,,,
Sf1000107,photolysis · irradiation · lysolysis · lysis · ultra · by · lytic · the · activation · lysogenic,,,,
S301b6a1e,regeneration · polarity · double · the · an · two · spontaneous · autotomy · reversed · a,,,,
S7154422b,actually · immediately · empirically · actively · experientially · directly · in · experimentally · through · practically,,,,
S929fe1aa,allow · perform · unlock · deactivate · activate · remove · do · make · disable · switch,,,,
S0afed984,disease · thrombus · this · embolism · arterial · thrombosis · acute · venous · the · thrombi,,,,
Sec42ff0c,hyphæ · cell · same · host · tissue · tissues · plant · hyphae · cells · interior,,,,
Scddfc044,proto · protyl · pro · positive · proton · hydrogen · protyle · para · protion · peri,,,,
Se1297729,genealogy · genealogical · in · genealogia · genealogies · the · genealogie · by · chronography · of,,,,
S00044dee,against · unclean · as · out · in · off · void · unfair · a · the,,,,
Sc928e7bd,homological · taxonomy · affinity · identity · specific · specification · analogy · ontogenetic · ontogeny · homology,,,,
Sae9b30f0,the · determine · make · switch · enable · locate · permit · operate · allow · obtain,,,,
Sbc33a158,observers · observing · watched · observer · one · universe · witness · subject · object · observed,,,,
S31ed12d8,pick · recording · pickup · reproduction · relay · record · broadcasting · re · transmission · gramophone,,,,
Se9b833bb,hue · frame · kinds · species · kind · form · kinde · forms · mood · shape,,,,
S45c36bce,insecure · unsecure · more · non · unstable · less · insecurely · nonsecure · fearful · anxious,,,,
Sdef0dfe8,reprisal · a · rehabilitation · retribution · retributive · retaliation · retribalization · retributory · process · intervention,,,,
Sbf90a761,walk · walking · posture · bearing · carriage · stance · gait · stature · in · proportions,,,,
Sd7333960,social · return · integration · socialization · group · network · net · breaking · techniques · tribe,,,,
Sf366e689,meningeal · myelitis · chronic · meningitis · inflammation · general · softening · sclerosis · encephalitis · meningo,,,,
Sb0842206,hydrocarbon · ion · acid · hydroxyl · hydroxidion · hydroxide · oh · hydrate · oxy · hydrogen,,,,
Sb1a6c510,antigen · n · anti · signal · t · the · a · i · s · electron,,,,
S6bbe1ecb,teachings · teaching · statements · interpretation · doctrines · explanation · doctrine · program · view · party,,,,
S88777079,cock · rod · dick · erection · organ · penis · member · prick · and · little,,,,
Sddc91387,coat · neck · shoulder · shirt · lips · and · arm · breast · knee · little,,,,
Se750568b,scales · tides · scale · field · fight · flight · tide · stream · strife · flood,,,,
Sbe1e5321,uremic · malignant · ketoacidosis · acidosis · metabolic · acute · hyperkalemic · hyperkalemia · lactic · renal,,,,
Sd6c29305,geology · physical · geomorphology · physiography · stratigraphy · historical · geological · economic · political · military,,,,
S3f862190,defeat · fight · combat · withstand · cope · attack · challenge · oppose · resist · meet,,,,
S03decd77,current · conductance · membrane · polarisation · polarization · by · in · electrolysis · conductivity · or,,,,
Sf7394747,animals · an · one · the · both · two · what · a · organs · primary,,,,
S311c1616,fall · enter · be · slip · come · strike · find · not · follow · have,,,,
S500880dd,as · exposed · out · a · void · the · defective · to · foul · dead,,,,
S26fdaa15,send · find · have · say · ask · go · not · make · get · smell,,,,
S80375088,flame · hevene · which · wordes · same · fire · herte · colde · samen · fyr,,,,
S39d0c918,gentleman · sinful · man · single · sinner · person · christian · living · true · friend,,,,
