text,target_word,year,entry_start_year,rank,top_10_words
"One type of [adrenotropic] receptor is associated with most of the excitatory functions and with at least one of the inhibitory functions (intestine). The other type is associated with most of the inhibitory functions and with one..excitatory function (myocardium)... Because of the opposite effects..the customary signs, E (excitatory) and I (inhibitory) cannot be applied. Therefore, for convenience they have been designated as the alpha adrenotropic receptors and the beta",beta,1948,1400.0,1,beta|omega|corresponding|a|gamma|theta|eta|grave|and|other
He would soon be driving around in a family eight or ten,ten,1931,,1,ten|nine|a|more|twelve|eight|fifteen|even|eleven|in
In this system a leading term..is a primary; its direct modifier (e.g. an adjective) is a secondary,secondary,1924,1382.0,1,secondary|subordinate|derivative|second|primary|derived|tertiary|sub|prepositional|subsidiary
The Polish commanders had a sound plan to..try to hold out until the French and British launched an offensive in the West,west,1914,,1,west|direction|field|north|south|east|rear|spring|baltic|crimea
They gave Sidney a testimonial dinner at the Ambassador at ten dollars a plate,plate,1917,1275.0,1,plate|head|piece|ticket|man|guest|dozen|cover|seat|person
"We shall assume that there are certain sequences of three nucleotides with which an amino acid can be associated and certain others for which this is not possible. Using the metaphors of coding, we say that some of the 64 triplets make sense and some make nonsense",nonsense,1961,1612.0,1,nonsense|no|not|sense|non|none|sound|a|the|false
The incandescent gas light can be rendered more perfect by the use of suitable colour screens. When treated in this way the light is known as ‘artificial daylight,daylight,1922,,1,daylight|sunlight|day|light|sun|moonlight|electric|gas|sunshine|illumination
I can't walk down a corridor without someone saying something. Fatty Day. Fat Slag. Who ate all the pies,pie,1992,1301.0,1,pie|cake|apple|bread|oranges|cakes|ice|cheese|apples|ham
A distinction is frequently made between associations in which the position of dominance is shared by two or more species..and those in which a single species is dominant,dominant,1923,1533.0,1,dominant|the|predominant|supreme|found|in|associated|recognized|represented|so
"Once an RPC client makes a request, it must wait for a reply",reply,1970,1560.0,1,reply|reasonable|response|definite|decision|week|long|favorable|year|day
A doctor..does not have to give reasons for his refusal to accept a patient on his list,list,1949,1604.0,1,list|certificate|recommendation|books|staff|own|advice|hands|professional|visiting
The doctor was free to accept or reject anyone applying to go on his list,list,1949,1604.0,1,list|staff|bond|books|service|hands|case|premises|farm|rounds
"The forms and methods of economic management, both micro and macro",macro,1974,1933.0,1,macro|macroscopic|macrographic|gross|micro|non|macroorganisms|macroscopical|macroeconomic|macroorganismal
Peter borrowed the Jag to bring her here and he scraped it on the gate! Can you imagine,imagine,1929,1380.0,1,imagine|tell|believe|understand|see|guess|forgive|make|not|get
The jazz-loving ‘hep-cat’ who claims that the music ‘sends’ him until he is ‘ gone,gone,1946,1450.0,1,gone|dead|in|drunk|up|tired|done|on|too|as
"The enzymes..are long peptide chains formed by about twenty different kinds of amino acids, and can be considered as long ‘words’ based on a 20-letter alphabet",alphabet,1956,1475.0,1,alphabet|vocabulary|system|basis|base|syllable|root|syllabary|formula|word
A parody of The Mikado ..which jovial play seems to have been performed in the internment camp,camp,1917,1525.0,1,camp|camps|of|prisons|period|at|prison|in|grounds|hospital
"The table overleaf gives the comparable quantities of each type of beverage which approximate to 9 grammes of absolute alcohol, defined by us as one alcoholic unit",unit,1976,1570.0,1,unit|content|gramme|beverage|drink|equivalent|dose|per|degree|liquid
Gains of up to £2 were seen in long gilts and of up to 5 / 8 in shorts,short,1932,,1,short|long|small|the|plain|half|narrow|ladies|square|pairs
"Why should one group orient predominantly ortho and para, and another predominantly meta",meta,1938,1876.0,1,meta|ortho|hetero|para|meso|anti|pyro|anortho|hydro|dia
The mode of secretion may be toward the outside of the body (exocrine) or toward the blood and lymph vessels ( endocrine,endocrine,1914,1914.0,1,endocrine|endocrines|endocrinous|enterocrine|endo|lymphatic|endocrast|hormone|entero|endocrastic
"Hill..was representing a Germany united for Olympic purposes, which won three gold and a silver",silver,1960,,1,silver|number|half|few|large|dozen|hundred|thousand|cup|bronze
The share price..is vulnerable to even the most modest of bear rumour and.. the downside substantially exceeds the upside,upside,1961,1611.0,1,upside|top|up|value|upper|upsides|ups|other|price|face
"A tiny minority advocates completely free exchange markets... Possibly a majority favours continued official intervention to set limits to market fluctuations... But an increasing minority favours a compromise system, variously called the crawling peg..or..the sliding",sliding,1966,,1,sliding|peg|free|fixed|system|automatic|walking|dead|ball|revolving
The Blattnerphone is an invention for recording magnetically upon steel tape,tape,1932,,1,tape|cylinders|or|plates|paper|filings|the|and|drums|wire
"Numbers at one end of a permitted range can be detected by adding a constant and testing the sign, and then the result of the discrimination may be used to operate a multiway switch",switch,1951,1597.0,1,switch|scale|test|of|galvanometer|key|telegraph|vernier|meter|instrument
"In a Greek watercloset he breathed his last... With beaded mitre and with crozier, stalled upon his throne",throne,1922,1225.0,1,throne|shoulders|mule|episcopal|charger|knees|great|palfrey|stall|fiery
"Each of these quarks can come in three colours red, blue, or green",green,1975,,1,green|yellow|black|brown|purple|white|grey|violet|any|gray
"One can make the three-quark system totally antisymmetric by introducing a new degree of freedom for the quarks. We paint them red, green",green,1975,,1,green|yellow|blue|and|white|black|orange|or|but|we
A more selective system of Customs questioning of passengers..is provided for in the finance bill published yesterday... Those who have anything to declare will go through a ‘red’ channel... Those who have nothing to declare will pass through a ‘ green,green,1968,,1,green|blue|white|black|yellow|blank|pink|grey|gray|clear
Jazzmen are we As jazzy as can be. We jazz in black We jazz in blue,blue,1924,1300.0,1,blue|white|red|green|brown|gray|black|grey|pink|yellow
Old L. B. J. is riddled with anxiety over the thought that we shall go to our graves having got him all wrong,wrong,1927,1175.0,1,wrong|the|to|mixed|but|right|this|these|in|ready
"The process freely permits an interaction between a factor present in the normal gastric juice, which may thus be termed intrinsic, and a factor contained in the beef muscle, which is thus an extrinsic",extrinsic,1930,1541.0,1,extrinsic|external|intrinsic|extraneous|extra|intermediary|accessory|adventitious|ex|exciter
The term ‘insecurity’ and its correlative ‘desire for security’ appear extensively in child development literature... We need methods by which we can discriminate between the relatively secure and the relatively insecure,insecure,1935,1649.0,1,insecure|unsafe|secure|unstable|safe|dangerous|unsecure|insincere|insanitary|insecurely
A one-act play was..televised..and receiving televisors within a range of four miles tuned in both sight and sound,sound,1928,1297.0,1,sound|hearing|distance|tune|voice|time|ear|audition|out|duration
"This rigid system, the subject-matter of ‘descriptive linguistics’, as we should say, is la langue , the language",language,1917,1300.0,1,language|tongue|french|mother|grammar|common|speech|whole|native|expression
"The director asked: ‘Aren't you going to study your lines?’ ‘I know what it says,’ replied Bickford. ‘I'll turn to the gang and say, “We'll head 'em off at Eagle Pass”.’",pass,1939,1393.0,1,pass|rock|city|lake|point|bend|hill|gap|bluff|creek
"This second division of current transportation is called by certain French engineers entraînement but has received no name in English. Being in need of a succinct title, I translate the French designation..by the word traction",traction,1914,1615.0,1,traction|force|transportation|transport|entrainment|violence|movement|travail|forcement|train
There is a remarkable similarity between many of the problems faced by the astronaut in ‘outer space’ and those of the aquanaut in ‘ inner,inner,1958,,1,inner|interior|upper|inside|central|outer|the|within|middle|internal
He hadn't even thought of her when he sat down... She just wouldn't occur to any man as a possible,possible,1915,1384.0,1,possible|wife|girl|woman|possibility|suitable|likely|subject|person|proper
The arrangements for uniting various ex-Service men's societies into one big organization were completed..yesterday. The new organization will be known as the British Legion,legion,1919,1275.0,1,legion|empire|red|association|service|army|national|and|american|medical
Direct governmental support of medical students and medical schools were vigorously opposed at one time or another by organized medicine,medicine,1966,1225.0,1,medicine|labor|medical|interests|groups|bodies|and|or|physicians|practitioners
Web tablets..are like laptops without keyboards and can be scribbled upon with electronic pens,pen,1972,1350.0,1,pen|pens|machines|force|apparatus|or|devices|device|ink|control
