id,model,grade,route,is_future,domain,target_word,year,rank,hit,stem_donors,affix_donors,locality,ending_rarity
S0c799363,talkie-web,STEM,paradigmatic,0,technical,hydroxyl,1869,3,1,hydrogen|hydroxides,,>15,n/a
Sf1000107,talkie-base,AFFIX,syntagmatic,1,everyday,induction,1951,-1,0,,irradiation|proportion,6-15,very-common
S301b6a1e,talkie-base,AFFIX,syntagmatic,0,everyday,polarization,1894,69,1,,condition,6-15,very-common
S7154422b,talkie-web,AFFIX,syntagmatic,0,everyday,actively,1425,1,1,,contemplatively,<=5,rare
S929fe1aa,talkie-web,STEM+AFFIX,paradigmatic,1,everyday,unlock,1996,1,1,lock,lock,>15,n/a
S0afed984,talkie-web,STEM,paradigmatic,0,technical,thrombosis,1857,1,1,thrombus,,>15,n/a
Sec42ff0c,typewriter,STEM,paradigmatic,0,everyday,hypha,1866,18,1,hyph,,6-15,n/a
Scddfc044,typewriter,STEM+AFFIX,paradigmatic,1,technical,positron,1933,-1,0,electron,electron,<=5,n/a
Se1297729,talkie-base,STEM+AFFIX,paradigmatic,0,everyday,anthropology,1593,-1,0,genealogy,genealogy,>15,n/a
S00044dee,typewriter,NONE,none,0,everyday,dead,1864,33,1,,,none,n/a
Sc928e7bd,typewriter,STEM+AFFIX,paradigmatic,0,technical,homology,1835,1,1,analogy|morphological|physiological,analogy,<=5,n/a
Sae9b30f0,typewriter,STEM+AFFIX,paradigmatic,1,everyday,unlock,1996,95,1,lock,lock,>15,n/a
Sbc33a158,talkie-web,STEM,paradigmatic,0,everyday,observed,1604,1,1,observer,,6-15,n/a
S31ed12d8,talkie-base,STEM+AFFIX,paradigmatic,1,everyday,transcription,1932,11,1,transmitters,circulation|station,6-15,n/a
Se9b833bb,typewriter,STEM,paradigmatic,0,everyday,kind,1225,1,1,mind,,6-15,n/a
S45c36bce,talkie-web,STEM+AFFIX,paradigmatic,1,everyday,insecure,1935,1,1,insecurity|secure|security,secure,<=5,n/a
Sdef0dfe8,typewriter,STEM,paradigmatic,1,everyday,networking,1976,-1,0,network,,6-15,n/a
Sbf90a761,talkie-web,AFFIX,syntagmatic,0,everyday,posture,1580,1,1,,stature,<=5,very-common
Sd7333960,talkie-base,STEM,paradigmatic,1,everyday,networking,1976,24,1,network,,6-15,n/a
Sf366e689,talkie-base,STEM+AFFIX,paradigmatic,0,technical,sclerosis,1543,1,1,cirrhosis,cirrhosis,6-15,n/a
Sb0842206,typewriter,STEM,paradigmatic,1,technical,hydroxide,1955,5,1,hydroxyl,,6-15,n/a
Sb1a6c510,typewriter,NONE,none,1,technical,cytokine,1974,-1,0,,,none,n/a
S6bbe1ecb,talkie-base,NONE,none,1,technical,mythology,1949,-1,0,,,none,n/a
S88777079,talkie-web,NONE,none,0,everyday,machine,1749,-1,0,,,none,n/a
Sddc91387,talkie-base,NONE,none,0,everyday,machine,1749,-1,0,,,none,n/a
Se750568b,talkie-web,STEM,paradigmatic,0,everyday,tide,1390,1,1,side,,6-15,n/a
Sbe1e5321,talkie-web,STEM,paradigmatic,0,technical,acidosis,1900,4,1,acid,,6-15,n/a
Sd6c29305,talkie-base,STEM,paradigmatic,0,technical,topology,1850,-1,0,topography,,6-15,n/a
S3f862190,talkie-base,NONE,none,1,technical,appease,1939,-1,0,,,none,n/a
S03decd77,talkie-base,AFFIX,syntagmatic,1,everyday,rectification,1941,-1,0,,direction,<=5,very-common
Sf7394747,talkie-web,AFFIX,syntagmatic,0,everyday,polarization,1894,-1,0,,condition,6-15,very-common
S311c1616,talkie-base,STEM,paradigmatic,1,everyday,penetrate,1953,11,1,penetration,,>15,n/a
